23:47:52.778 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
23:48:58.700 [http-nio-8080-exec-9] INFO  c.z.h.HikariDataSource - [getConnection,110] - HikariPool-1 - Starting...
23:48:59.820 [http-nio-8080-exec-9] INFO  c.z.h.HikariDataSource - [getConnection,123] - HikariPool-1 - Start completed.
23:53:03.064 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource - [close,350] - HikariPool-1 - Shutdown initiated...
23:53:03.113 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource - [close,352] - HikariPool-1 - Shutdown completed.
23:53:07.999 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
23:53:08.003 [restartedMain] INFO  c.k.a.AjaxApplication - [logStarting,55] - Starting AjaxApplication using Java 17.0.2 on Yachne with PID 15956 (D:\kaifamiao\workspace\idea\java\ajax\target\classes started by Administrator in D:\kaifamiao\workspace\idea\java)
23:53:08.005 [restartedMain] INFO  c.k.a.AjaxApplication - [logStartupProfileInfo,632] - No active profile set, falling back to 1 default profile: "default"
23:53:09.104 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8080"]
23:53:09.105 [restartedMain] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
23:53:09.106 [restartedMain] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.82]
23:53:09.164 [restartedMain] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
23:53:09.706 [restartedMain] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8080"]
23:53:09.733 [restartedMain] INFO  c.k.a.AjaxApplication - [logStarted,61] - Started AjaxApplication in 2.11 seconds (JVM running for 2.888)
23:53:15.454 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
23:54:01.637 [http-nio-8080-exec-1] INFO  c.z.h.HikariDataSource - [getConnection,110] - HikariPool-1 - Starting...
23:54:01.975 [http-nio-8080-exec-1] INFO  c.z.h.HikariDataSource - [getConnection,123] - HikariPool-1 - Start completed.
